Rainfall - (MM), Year, Statistics, Country, ISO3
81.516, 1931, Jan Average, Afghanistan, AFG
73.8971, 1931, Feb Average, Afghanistan, AFG
30.3644, 1931, Mar Average, Afghanistan, AFG
49.8649, 1931, Apr Average, Afghanistan, AFG
46.3441, 1931, May Average, Afghanistan, AFG
11.7684, 1931, Jun Average, Afghanistan, AFG
10.2598, 1931, Jul Average, Afghanistan, AFG
2.67202, 1931, Aug Average, Afghanistan, AFG
2.10933, 1931, Sep Average, Afghanistan, AFG
11.7163, 1931, Oct Average, Afghanistan, AFG
33.5984, 1931, Nov Average, Afghanistan, AFG
41.4348, 1931, Dec Average, Afghanistan, AFG
76.2694, 1932, Jan Average, Afghanistan, AFG
23.0718, 1932, Feb Average, Afghanistan, AFG
78.6606, 1932, Mar Average, Afghanistan, AFG
26.7844, 1932, Apr Average, Afghanistan, AFG
17.7512, 1932, May Average, Afghanistan, AFG
5.46912, 1932, Jun Average, Afghanistan, AFG
15.7712, 1932, Jul Average, Afghanistan, AFG
11.5176, 1932, Aug Average, Afghanistan, AFG
1.16887, 1932, Sep Average, Afghanistan, AFG
7.79287, 1932, Oct Average, Afghanistan, AFG
5.30547, 1932, Nov Average, Afghanistan, AFG
23.5836, 1932, Dec Average, Afghanistan, AFG
46.7137, 1933, Jan Average, Afghanistan, AFG
39.3253, 1933, Feb Average, Afghanistan, AFG
91.4004, 1933, Mar Average, Afghanistan, AFG
51.0452, 1933, Apr Average, Afghanistan, AFG
20.0575, 1933, May Average, Afghanistan, AFG
7.8143, 1933, Jun Average, Afghanistan, AFG
7.9147, 1933, Jul Average, Afghanistan, AFG
14.4373, 1933, Aug Average, Afghanistan, AFG
4.75614, 1933, Sep Average, Afghanistan, AFG
2.25805, 1933, Oct Average, Afghanistan, AFG
13.0747, 1933, Nov Average, Afghanistan, AFG
52.9919, 1933, Dec Average, Afghanistan, AFG
37.6082, 1934, Jan Average, Afghanistan, AFG
46.7267, 1934, Feb Average, Afghanistan, AFG
47.4725, 1934, Mar Average, Afghanistan, AFG
83.0148, 1934, Apr Average, Afghanistan, AFG
48.078, 1934, May Average, Afghanistan, AFG
4.81975, 1934, Jun Average, Afghanistan, AFG
0.99536, 1934, Jul Average, Afghanistan, AFG
8.59318, 1934, Aug Average, Afghanistan, AFG
3.8935, 1934, Sep Average, Afghanistan, AFG
3.67833, 1934, Oct Average, Afghanistan, AFG
5.68044, 1934, Nov Average, Afghanistan, AFG
41.0214, 1934, Dec Average, Afghanistan, AFG
61.6351, 1935, Jan Average, Afghanistan, AFG
80.2005, 1935, Feb Average, Afghanistan, AFG
37.9683, 1935, Mar Average, Afghanistan, AFG
61.1704, 1935, Apr Average, Afghanistan, AFG
15.1064, 1935, May Average, Afghanistan, AFG
13.0977, 1935, Jun Average, Afghanistan, AFG
4.98352, 1935, Jul Average, Afghanistan, AFG
7.53432, 1935, Aug Average, Afghanistan, AFG
2.66205, 1935, Sep Average, Afghanistan, AFG
10.7244, 1935, Oct Average, Afghanistan, AFG
33.9639, 1935, Nov Average, Afghanistan, AFG
9.87502, 1935, Dec Average, Afghanistan, AFG
19.7755, 1936, Jan Average, Afghanistan, AFG
71.0944, 1936, Feb Average, Afghanistan, AFG
57.6215, 1936, Mar Average, Afghanistan, AFG
53.0364, 1936, Apr Average, Afghanistan, AFG
25.3499, 1936, May Average, Afghanistan, AFG
3.7286, 1936, Jun Average, Afghanistan, AFG
1.4253, 1936, Jul Average, Afghanistan, AFG
3.29485, 1936, Aug Average, Afghanistan, AFG
3.51566, 1936, Sep Average, Afghanistan, AFG
9.88174, 1936, Oct Average, Afghanistan, AFG
13.2423, 1936, Nov Average, Afghanistan, AFG
36.8966, 1936, Dec Average, Afghanistan, AFG
40.1228, 1937, Jan Average, Afghanistan, AFG
69.9211, 1937, Feb Average, Afghanistan, AFG
56.3031, 1937, Mar Average, Afghanistan, AFG
70.8844, 1937, Apr Average, Afghanistan, AFG
24.7586, 1937, May Average, Afghanistan, AFG
0.73901, 1937, Jun Average, Afghanistan, AFG
9.20681, 1937, Jul Average, Afghanistan, AFG
0.14206, 1937, Aug Average, Afghanistan, AFG
2.49889, 1937, Sep Average, Afghanistan, AFG
12.8825, 1937, Oct Average, Afghanistan, AFG
5.49537, 1937, Nov Average, Afghanistan, AFG
25.2455, 1937, Dec Average, Afghanistan, AFG
94.82, 1938, Jan Average, Afghanistan, AFG
56.1294, 1938, Feb Average, Afghanistan, AFG
64.5296, 1938, Mar Average, Afghanistan, AFG
33.3143, 1938, Apr Average, Afghanistan, AFG
3.42007, 1938, May Average, Afghanistan, AFG
6.37576, 1938, Jun Average, Afghanistan, AFG
8.37999, 1938, Jul Average, Afghanistan, AFG
6.04895, 1938, Aug Average, Afghanistan, AFG
1.48021, 1938, Sep Average, Afghanistan, AFG
0.94782, 1938, Oct Average, Afghanistan, AFG
16.2251, 1938, Nov Average, Afghanistan, AFG
29.6089, 1938, Dec Average, Afghanistan, AFG
56.8361, 1939, Jan Average, Afghanistan, AFG
107.854, 1939, Feb Average, Afghanistan, AFG
98.3693, 1939, Mar Average, Afghanistan, AFG
62.4233, 1939, Apr Average, Afghanistan, AFG
15.131, 1939, May Average, Afghanistan, AFG
1.49615, 1939, Jun Average, Afghanistan, AFG
4.16198, 1939, Jul Average, Afghanistan, AFG
1.81495, 1939, Aug Average, Afghanistan, AFG
0.22185, 1939, Sep Average, Afghanistan, AFG
11.9881, 1939, Oct Average, Afghanistan, AFG
9.15457, 1939, Nov Average, Afghanistan, AFG
21.591, 1939, Dec Average, Afghanistan, AFG
66.9055, 1940, Jan Average, Afghanistan, AFG
47.668, 1940, Feb Average, Afghanistan, AFG
55.8901, 1940, Mar Average, Afghanistan, AFG
25.9141, 1940, Apr Average, Afghanistan, AFG
21.4932, 1940, May Average, Afghanistan, AFG
9.35203, 1940, Jun Average, Afghanistan, AFG
2.09616, 1940, Jul Average, Afghanistan, AFG
2.90586, 1940, Aug Average, Afghanistan, AFG
3.4639, 1940, Sep Average, Afghanistan, AFG
18.7416, 1940, Oct Average, Afghanistan, AFG
10.2066, 1940, Nov Average, Afghanistan, AFG
24.6239, 1940, Dec Average, Afghanistan, AFG
41.6011, 1941, Jan Average, Afghanistan, AFG
43.5247, 1941, Feb Average, Afghanistan, AFG
53.3134, 1941, Mar Average, Afghanistan, AFG
81.2875, 1941, Apr Average, Afghanistan, AFG
11.5055, 1941, May Average, Afghanistan, AFG
1.26849, 1941, Jun Average, Afghanistan, AFG
2.62632, 1941, Jul Average, Afghanistan, AFG
3.56733, 1941, Aug Average, Afghanistan, AFG
2.68336, 1941, Sep Average, Afghanistan, AFG
2.0286, 1941, Oct Average, Afghanistan, AFG
6.94949, 1941, Nov Average, Afghanistan, AFG
47.3683, 1941, Dec Average, Afghanistan, AFG
99.8148, 1942, Jan Average, Afghanistan, AFG
71.1908, 1942, Feb Average, Afghanistan, AFG
50.72, 1942, Mar Average, Afghanistan, AFG
40.2923, 1942, Apr Average, Afghanistan, AFG
33.6048, 1942, May Average, Afghanistan, AFG
10.9773, 1942, Jun Average, Afghanistan, AFG
16.2559, 1942, Jul Average, Afghanistan, AFG
1.48717, 1942, Aug Average, Afghanistan, AFG
3.18098, 1942, Sep Average, Afghanistan, AFG
11.058, 1942, Oct Average, Afghanistan, AFG
22.7256, 1942, Nov Average, Afghanistan, AFG
