Temperature - (Celsius), Year, Statistics, Country, ISO3
1.39097, 1961, Jan Average, Afghanistan, AFG
0.90369, 1961, Feb Average, Afghanistan, AFG
8.00043, 1961, Mar Average, Afghanistan, AFG
12.3588, 1961, Apr Average, Afghanistan, AFG
19.2618, 1961, May Average, Afghanistan, AFG
22.7845, 1961, Jun Average, Afghanistan, AFG
25.5794, 1961, Jul Average, Afghanistan, AFG
23.7778, 1961, Aug Average, Afghanistan, AFG
20.5201, 1961, Sep Average, Afghanistan, AFG
11.7826, 1961, Oct Average, Afghanistan, AFG
6.17419, 1961, Nov Average, Afghanistan, AFG
3.08765, 1961, Dec Average, Afghanistan, AFG
0.2178, 1962, Jan Average, Afghanistan, AFG
4.86073, 1962, Feb Average, Afghanistan, AFG
9.21193, 1962, Mar Average, Afghanistan, AFG
13.1595, 1962, Apr Average, Afghanistan, AFG
17.8021, 1962, May Average, Afghanistan, AFG
22.026, 1962, Jun Average, Afghanistan, AFG
25.1854, 1962, Jul Average, Afghanistan, AFG
23.305, 1962, Aug Average, Afghanistan, AFG
17.3479, 1962, Sep Average, Afghanistan, AFG
12.0959, 1962, Oct Average, Afghanistan, AFG
4.31819, 1962, Nov Average, Afghanistan, AFG
1.7511, 1962, Dec Average, Afghanistan, AFG
2.56103, 1963, Jan Average, Afghanistan, AFG
6.13385, 1963, Feb Average, Afghanistan, AFG
7.92977, 1963, Mar Average, Afghanistan, AFG
13.9198, 1963, Apr Average, Afghanistan, AFG
17.1359, 1963, May Average, Afghanistan, AFG
23.9893, 1963, Jun Average, Afghanistan, AFG
25.2344, 1963, Jul Average, Afghanistan, AFG
23.5669, 1963, Aug Average, Afghanistan, AFG
19.0576, 1963, Sep Average, Afghanistan, AFG
14.6614, 1963, Oct Average, Afghanistan, AFG
7.13441, 1963, Nov Average, Afghanistan, AFG
1.89387, 1963, Dec Average, Afghanistan, AFG
-4.1752, 1964, Jan Average, Afghanistan, AFG
2.35688, 1964, Feb Average, Afghanistan, AFG
9.31992, 1964, Mar Average, Afghanistan, AFG
12.6143, 1964, Apr Average, Afghanistan, AFG
17.8062, 1964, May Average, Afghanistan, AFG
22.3411, 1964, Jun Average, Afghanistan, AFG
24.9046, 1964, Jul Average, Afghanistan, AFG
24.2136, 1964, Aug Average, Afghanistan, AFG
18.7699, 1964, Sep Average, Afghanistan, AFG
10.272, 1964, Oct Average, Afghanistan, AFG
5.96833, 1964, Nov Average, Afghanistan, AFG
-1.2292, 1964, Dec Average, Afghanistan, AFG
1.63985, 1965, Jan Average, Afghanistan, AFG
2.47048, 1965, Feb Average, Afghanistan, AFG
7.0145, 1965, Mar Average, Afghanistan, AFG
11.3304, 1965, Apr Average, Afghanistan, AFG
17.6977, 1965, May Average, Afghanistan, AFG
22.2347, 1965, Jun Average, Afghanistan, AFG
25.015, 1965, Jul Average, Afghanistan, AFG
22.7714, 1965, Aug Average, Afghanistan, AFG
18.253, 1965, Sep Average, Afghanistan, AFG
15.0494, 1965, Oct Average, Afghanistan, AFG
8.53311, 1965, Nov Average, Afghanistan, AFG
1.75895, 1965, Dec Average, Afghanistan, AFG
3.86838, 1966, Jan Average, Afghanistan, AFG
6.16489, 1966, Feb Average, Afghanistan, AFG
7.70107, 1966, Mar Average, Afghanistan, AFG
12.1127, 1966, Apr Average, Afghanistan, AFG
17.6204, 1966, May Average, Afghanistan, AFG
24.0696, 1966, Jun Average, Afghanistan, AFG
24.5635, 1966, Jul Average, Afghanistan, AFG
23.668, 1966, Aug Average, Afghanistan, AFG
18.628, 1966, Sep Average, Afghanistan, AFG
12.5213, 1966, Oct Average, Afghanistan, AFG
4.45945, 1966, Nov Average, Afghanistan, AFG
2.01452, 1966, Dec Average, Afghanistan, AFG
-0.9853, 1967, Jan Average, Afghanistan, AFG
2.94731, 1967, Feb Average, Afghanistan, AFG
7.11538, 1967, Mar Average, Afghanistan, AFG
11.9819, 1967, Apr Average, Afghanistan, AFG
16.5862, 1967, May Average, Afghanistan, AFG
22.0694, 1967, Jun Average, Afghanistan, AFG
25.2267, 1967, Jul Average, Afghanistan, AFG
23.3582, 1967, Aug Average, Afghanistan, AFG
19.326, 1967, Sep Average, Afghanistan, AFG
12.5635, 1967, Oct Average, Afghanistan, AFG
7.83195, 1967, Nov Average, Afghanistan, AFG
2.27867, 1967, Dec Average, Afghanistan, AFG
0.55694, 1968, Jan Average, Afghanistan, AFG
0.78499, 1968, Feb Average, Afghanistan, AFG
8.14769, 1968, Mar Average, Afghanistan, AFG
12.513, 1968, Apr Average, Afghanistan, AFG
16.1739, 1968, May Average, Afghanistan, AFG
22.8904, 1968, Jun Average, Afghanistan, AFG
24.5566, 1968, Jul Average, Afghanistan, AFG
23.2978, 1968, Aug Average, Afghanistan, AFG
18.8128, 1968, Sep Average, Afghanistan, AFG
12.7116, 1968, Oct Average, Afghanistan, AFG
7.25261, 1968, Nov Average, Afghanistan, AFG
2.68499, 1968, Dec Average, Afghanistan, AFG
-2.1458, 1969, Jan Average, Afghanistan, AFG
-0.7672, 1969, Feb Average, Afghanistan, AFG
